| Reward: -6980 | Episode: 0 | Qmax: 19.62256562685919 | Exploration: 0.65
| Reward: -5720 | Episode: 1 | Qmax: 43.9646532138985 | Exploration: 0.65
| Reward: -5450 | Episode: 2 | Qmax: 55.57505016288681 | Exploration: 0.65
| Reward: -5540 | Episode: 3 | Qmax: 54.06361492363389 | Exploration: 0.65
| Reward: -5540 | Episode: 4 | Qmax: 46.6203228944767 | Exploration: 0.65
| Reward: -5990 | Episode: 5 | Qmax: 38.13316060068134 | Exploration: 0.65
| Reward: -5450 | Episode: 6 | Qmax: 31.06666522895645 | Exploration: 0.65
| Reward: -5090 | Episode: 7 | Qmax: 23.6008309209514 | Exploration: 0.65
| Reward: -5180 | Episode: 8 | Qmax: 15.774710650434475 | Exploration: 0.65
| Reward: -5630 | Episode: 9 | Qmax: 9.606494818577069 | Exploration: 0.65
| Reward: -5450 | Episode: 10 | Qmax: 1.579563176355517 | Exploration: 0.65
| Reward: -5990 | Episode: 11 | Qmax: -5.817134416936514 | Exploration: 0.65
| Reward: -5090 | Episode: 12 | Qmax: -12.223990471902974 | Exploration: 0.65
| Reward: -5090 | Episode: 13 | Qmax: -18.023051850542515 | Exploration: 0.65
| Reward: -5270 | Episode: 14 | Qmax: -23.326923404762407 | Exploration: 0.65
| Reward: -6170 | Episode: 15 | Qmax: -28.42723234860835 | Exploration: 0.65
| Reward: -5090 | Episode: 16 | Qmax: -33.04546597773183 | Exploration: 0.65
| Reward: -5630 | Episode: 17 | Qmax: -36.94684112334777 | Exploration: 0.65
| Reward: -5630 | Episode: 18 | Qmax: -41.537384877940696 | Exploration: 0.65
| Reward: -5990 | Episode: 19 | Qmax: -46.70908074388523 | Exploration: 0.65
| Reward: -5180 | Episode: 20 | Qmax: -51.568306924823766 | Exploration: 0.65
| Reward: -5630 | Episode: 21 | Qmax: -56.25661717722554 | Exploration: 0.65
| Reward: -5180 | Episode: 22 | Qmax: -60.53383118165041 | Exploration: 0.65
| Reward: -24320 | Episode: 0 | Qmax: 1.8344903797599132 | Exploration: 0.65
| Reward: -22160 | Episode: 1 | Qmax: -20.275863005063606 | Exploration: 0.65
| Reward: -23600 | Episode: 2 | Qmax: -39.9487496290641 | Exploration: 0.65
| Reward: -22520 | Episode: 3 | Qmax: -58.14476290078328 | Exploration: 0.65
| Reward: -23780 | Episode: 4 | Qmax: -75.61350706328506 | Exploration: 0.65
| Reward: -23150 | Episode: 5 | Qmax: -91.56121162082506 | Exploration: 0.65
| Reward: -21980 | Episode: 6 | Qmax: -107.606099184541 | Exploration: 0.65
| Reward: -22070 | Episode: 7 | Qmax: -123.35648579141866 | Exploration: 0.65
| Reward: -23150 | Episode: 8 | Qmax: -139.94351931748955 | Exploration: 0.65
| Reward: -23150 | Episode: 9 | Qmax: -156.23330401467823 | Exploration: 0.65
| Reward: -23150 | Episode: 10 | Qmax: -172.24625300931717 | Exploration: 0.65
| Reward: -22340 | Episode: 11 | Qmax: -188.40618458338056 | Exploration: 0.65
| Reward: -22880 | Episode: 12 | Qmax: -204.58368776368164 | Exploration: 0.65
| Reward: -21800 | Episode: 13 | Qmax: -220.21910971507484 | Exploration: 0.65
