| Reward: -14360 | Episode: 0 | Qmax: -10.05152606522153 | Exploration: 0.65
| Reward: -14810 | Episode: 1 | Qmax: -29.507218410591324 | Exploration: 0.65
| Reward: -11300 | Episode: 2 | Qmax: -38.419162658507936 | Exploration: 0.65
| Reward: -9860 | Episode: 3 | Qmax: -41.456130324002494 | Exploration: 0.65
| Reward: -10220 | Episode: 4 | Qmax: -44.31522109465513 | Exploration: 0.65
| Reward: -10130 | Episode: 5 | Qmax: -51.941102068027654 | Exploration: 0.65
| Reward: -10670 | Episode: 6 | Qmax: -59.53894074311954 | Exploration: 0.65
| Reward: -8690 | Episode: 7 | Qmax: -65.76794876220947 | Exploration: 0.65
| Reward: -10760 | Episode: 8 | Qmax: -71.82958819249828 | Exploration: 0.65
| Reward: -9860 | Episode: 9 | Qmax: -78.16160687463795 | Exploration: 0.65
| Reward: -9320 | Episode: 10 | Qmax: -84.08674338728727 | Exploration: 0.65
| Reward: -8420 | Episode: 11 | Qmax: -89.59887394111955 | Exploration: 0.65
| Reward: -6980 | Episode: 12 | Qmax: -95.57910746419597 | Exploration: 0.65
| Reward: -10310 | Episode: 13 | Qmax: -100.07987425656978 | Exploration: 0.65
| Reward: -8150 | Episode: 14 | Qmax: -105.83946046083867 | Exploration: 0.65
| Reward: -8060 | Episode: 15 | Qmax: -112.38726803582752 | Exploration: 0.65
| Reward: -9050 | Episode: 16 | Qmax: -118.38402938078305 | Exploration: 0.65
| Reward: -9590 | Episode: 17 | Qmax: -124.70900128504078 | Exploration: 0.65
| Reward: -9320 | Episode: 18 | Qmax: -130.5949339016167 | Exploration: 0.65
| Reward: -9950 | Episode: 19 | Qmax: -137.4583667151197 | Exploration: 0.65
| Reward: -8960 | Episode: 20 | Qmax: -143.83578084513755 | Exploration: 0.65
| Reward: -7700 | Episode: 21 | Qmax: -151.1912255908301 | Exploration: 0.65
| Reward: -9140 | Episode: 22 | Qmax: -155.66235455530202 | Exploration: 0.65
| Reward: -8330 | Episode: 23 | Qmax: -162.7151416480422 | Exploration: 0.65
| Reward: -8600 | Episode: 24 | Qmax: -168.52659548833995 | Exploration: 0.65
| Reward: -8870 | Episode: 25 | Qmax: -174.43736175353638 | Exploration: 0.65
| Reward: -8600 | Episode: 26 | Qmax: -181.55143795892567 | Exploration: 0.65
| Reward: -10040 | Episode: 27 | Qmax: -188.2157978982868 | Exploration: 0.65
| Reward: -10400 | Episode: 28 | Qmax: -194.75802086350436 | Exploration: 0.65
| Reward: -8780 | Episode: 29 | Qmax: -201.60304428436953 | Exploration: 0.65
| Reward: -10940 | Episode: 30 | Qmax: -209.11687177455497 | Exploration: 0.65
| Reward: -9140 | Episode: 31 | Qmax: -215.1895292354729 | Exploration: 0.65
| Reward: -10670 | Episode: 32 | Qmax: -221.82122958685926 | Exploration: 0.65
| Reward: -9140 | Episode: 33 | Qmax: -228.97692705968578 | Exploration: 0.65
| Reward: -7070 | Episode: 34 | Qmax: -235.2772422897553 | Exploration: 0.65
| Reward: -8150 | Episode: 35 | Qmax: -242.20027071966197 | Exploration: 0.65
| Reward: -8780 | Episode: 36 | Qmax: -247.9309637035301 | Exploration: 0.65
| Reward: -8330 | Episode: 37 | Qmax: -254.56638233742876 | Exploration: 0.65
| Reward: -8330 | Episode: 38 | Qmax: -261.6007101177453 | Exploration: 0.65
| Reward: -7880 | Episode: 39 | Qmax: -267.81305197675624 | Exploration: 0.65
| Reward: -9320 | Episode: 40 | Qmax: -273.7992144567455 | Exploration: 0.65
| Reward: -10040 | Episode: 41 | Qmax: -280.50482709804373 | Exploration: 0.65
| Reward: -8150 | Episode: 42 | Qmax: -288.12878320116795 | Exploration: 0.65
| Reward: -8960 | Episode: 43 | Qmax: -294.040747082544 | Exploration: 0.65
| Reward: -8060 | Episode: 44 | Qmax: -300.50579944067823 | Exploration: 0.65
| Reward: -9680 | Episode: 45 | Qmax: -305.82190504054984 | Exploration: 0.65
| Reward: -9230 | Episode: 46 | Qmax: -312.93362549072754 | Exploration: 0.65
| Reward: -8420 | Episode: 47 | Qmax: -319.6453510047439 | Exploration: 0.65
| Reward: -8150 | Episode: 48 | Qmax: -325.31631677661966 | Exploration: 0.65
| Reward: -9320 | Episode: 49 | Qmax: -331.63904634219614 | Exploration: 0.65
| Reward: -9590 | Episode: 50 | Qmax: -337.43422801413374 | Exploration: 0.65
