/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/matplotlib/__init__.py:962: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #2
  (fname, cnt))
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/matplotlib/__init__.py:962: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #3
  (fname, cnt))
2018-02-08 23:22:58.164931: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-08 23:22:58.261856: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-02-08 23:22:58.262208: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:00:1e.0
totalMemory: 11.17GiB freeMemory: 11.10GiB
2018-02-08 23:22:58.262234: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:00:1e.0, compute capability: 3.7)
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/tensorflow/python/ops/gradients_impl.py:96: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
Traceback (most recent call last):
  File "vm_main.py", line 3, in <module>
    from graphviz import Source
ModuleNotFoundError: No module named 'graphviz'
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/matplotlib/__init__.py:962: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #2
  (fname, cnt))
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/matplotlib/__init__.py:962: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #3
  (fname, cnt))
2018-02-08 23:32:15.106387: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-08 23:32:15.183384: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-02-08 23:32:15.183627: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:00:1e.0
totalMemory: 11.17GiB freeMemory: 504.12MiB
2018-02-08 23:32:15.183666: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:00:1e.0, compute capability: 3.7)
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/tensorflow/python/ops/gradients_impl.py:96: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
0
0
DDQN Saved
| Reward: -60710 | Episode: 0 | Qmax: -9.7100 | Exploration: 0.650000 
| Reward: -55670 | Episode: 1 | Qmax: -51.7921 | Exploration: 0.650000 
| Reward: -56750 | Episode: 2 | Qmax: -92.1189 | Exploration: 0.650000 
| Reward: -68990 | Episode: 3 | Qmax: -124.7499 | Exploration: 0.650000 
| Reward: -63140 | Episode: 4 | Qmax: -165.9125 | Exploration: 0.650000 
| Reward: -59360 | Episode: 5 | Qmax: -205.6586 | Exploration: 0.650000 
| Reward: -57560 | Episode: 6 | Qmax: -242.1911 | Exploration: 0.650000 
| Reward: -54140 | Episode: 7 | Qmax: -276.3159 | Exploration: 0.650000 
| Reward: -55220 | Episode: 8 | Qmax: -309.5594 | Exploration: 0.650000 
| Reward: -55760 | Episode: 9 | Qmax: -340.8512 | Exploration: 0.650000 
| Reward: -52610 | Episode: 10 | Qmax: -370.2034 | Exploration: 0.650000 
| Reward: -53600 | Episode: 11 | Qmax: -397.5729 | Exploration: 0.650000 
| Reward: -52880 | Episode: 12 | Qmax: -424.1847 | Exploration: 0.650000 
| Reward: -52250 | Episode: 13 | Qmax: -450.2627 | Exploration: 0.650000 
| Reward: -54500 | Episode: 14 | Qmax: -474.8898 | Exploration: 0.650000 
| Reward: -53240 | Episode: 15 | Qmax: -497.0933 | Exploration: 0.650000 
| Reward: -52250 | Episode: 16 | Qmax: -519.4574 | Exploration: 0.650000 
| Reward: -52160 | Episode: 17 | Qmax: -541.5903 | Exploration: 0.650000 
| Reward: -53420 | Episode: 18 | Qmax: -561.7917 | Exploration: 0.650000 
| Reward: -51890 | Episode: 19 | Qmax: -579.9745 | Exploration: 0.650000 
DDQN Saved
| Reward: -55310 | Episode: 20 | Qmax: -598.0509 | Exploration: 0.650000 
| Reward: -53150 | Episode: 21 | Qmax: -614.1819 | Exploration: 0.650000 
| Reward: -53510 | Episode: 22 | Qmax: -631.5154 | Exploration: 0.650000 
| Reward: -52970 | Episode: 23 | Qmax: -647.2332 | Exploration: 0.650000 
| Reward: -51890 | Episode: 24 | Qmax: -660.4656 | Exploration: 0.650000 
| Reward: -53330 | Episode: 25 | Qmax: -673.2001 | Exploration: 0.650000 
| Reward: -53240 | Episode: 26 | Qmax: -685.7897 | Exploration: 0.650000 
| Reward: -53420 | Episode: 27 | Qmax: -698.2367 | Exploration: 0.650000 
| Reward: -52430 | Episode: 28 | Qmax: -710.1677 | Exploration: 0.650000 
| Reward: -52700 | Episode: 29 | Qmax: -721.7799 | Exploration: 0.650000 
| Reward: -52610 | Episode: 30 | Qmax: -732.8166 | Exploration: 0.650000 
| Reward: -51710 | Episode: 31 | Qmax: -743.9744 | Exploration: 0.650000 
| Reward: -53060 | Episode: 32 | Qmax: -754.9011 | Exploration: 0.650000 
| Reward: -52700 | Episode: 33 | Qmax: -764.7414 | Exploration: 0.650000 
| Reward: -51440 | Episode: 34 | Qmax: -773.9876 | Exploration: 0.650000 
| Reward: -53330 | Episode: 35 | Qmax: -783.0093 | Exploration: 0.650000 
| Reward: -53150 | Episode: 36 | Qmax: -791.4645 | Exploration: 0.650000 
| Reward: -51260 | Episode: 37 | Qmax: -799.5592 | Exploration: 0.650000 
| Reward: -54050 | Episode: 38 | Qmax: -807.2354 | Exploration: 0.650000 
| Reward: -52250 | Episode: 39 | Qmax: -815.2090 | Exploration: 0.650000 
DDQN Saved
| Reward: -52250 | Episode: 40 | Qmax: -822.6030 | Exploration: 0.650000 
| Reward: -50990 | Episode: 41 | Qmax: -829.5268 | Exploration: 0.650000 
| Reward: -50990 | Episode: 42 | Qmax: -836.5103 | Exploration: 0.650000 
| Reward: -52610 | Episode: 43 | Qmax: -843.3791 | Exploration: 0.650000 
| Reward: -50630 | Episode: 44 | Qmax: -849.4606 | Exploration: 0.650000 
| Reward: -51890 | Episode: 45 | Qmax: -855.1156 | Exploration: 0.650000 
| Reward: -51800 | Episode: 46 | Qmax: -860.9388 | Exploration: 0.650000 
| Reward: -51350 | Episode: 47 | Qmax: -866.0199 | Exploration: 0.650000 
