| Reward: -60710 | Episode: 0 | Qmax: -9.710017463472541 | Exploration: 0.65
| Reward: -55670 | Episode: 1 | Qmax: -51.79213628465592 | Exploration: 0.65
| Reward: -56750 | Episode: 2 | Qmax: -92.1189379477458 | Exploration: 0.65
| Reward: -68990 | Episode: 3 | Qmax: -124.74988297219991 | Exploration: 0.65
| Reward: -63140 | Episode: 4 | Qmax: -165.91245381644688 | Exploration: 0.65
| Reward: -59360 | Episode: 5 | Qmax: -205.65855194659537 | Exploration: 0.65
| Reward: -57560 | Episode: 6 | Qmax: -242.1910994228875 | Exploration: 0.65
| Reward: -54140 | Episode: 7 | Qmax: -276.3159114733103 | Exploration: 0.65
| Reward: -55220 | Episode: 8 | Qmax: -309.5593677573405 | Exploration: 0.65
| Reward: -55760 | Episode: 9 | Qmax: -340.851237087017 | Exploration: 0.65
| Reward: -52610 | Episode: 10 | Qmax: -370.2034011111304 | Exploration: 0.65
| Reward: -53600 | Episode: 11 | Qmax: -397.5729487694414 | Exploration: 0.65
| Reward: -52880 | Episode: 12 | Qmax: -424.1846708330924 | Exploration: 0.65
| Reward: -52250 | Episode: 13 | Qmax: -450.2627296150148 | Exploration: 0.65
| Reward: -54500 | Episode: 14 | Qmax: -474.8897651844822 | Exploration: 0.65
| Reward: -53240 | Episode: 15 | Qmax: -497.0932995070694 | Exploration: 0.65
| Reward: -52250 | Episode: 16 | Qmax: -519.4573695439772 | Exploration: 0.65
| Reward: -52160 | Episode: 17 | Qmax: -541.5902748054493 | Exploration: 0.65
| Reward: -53420 | Episode: 18 | Qmax: -561.7917094893588 | Exploration: 0.65
| Reward: -51890 | Episode: 19 | Qmax: -579.9744900884474 | Exploration: 0.65
| Reward: -55310 | Episode: 20 | Qmax: -598.0509350527332 | Exploration: 0.65
| Reward: -53150 | Episode: 21 | Qmax: -614.1819404041942 | Exploration: 0.65
| Reward: -53510 | Episode: 22 | Qmax: -631.5154230186857 | Exploration: 0.65
| Reward: -52970 | Episode: 23 | Qmax: -647.233211376162 | Exploration: 0.65
| Reward: -51890 | Episode: 24 | Qmax: -660.465606854281 | Exploration: 0.65
| Reward: -53330 | Episode: 25 | Qmax: -673.200089383111 | Exploration: 0.65
| Reward: -53240 | Episode: 26 | Qmax: -685.7896901035481 | Exploration: 0.65
| Reward: -53420 | Episode: 27 | Qmax: -698.2367213432921 | Exploration: 0.65
| Reward: -52430 | Episode: 28 | Qmax: -710.1677096893989 | Exploration: 0.65
| Reward: -52700 | Episode: 29 | Qmax: -721.7798785098817 | Exploration: 0.65
| Reward: -52610 | Episode: 30 | Qmax: -732.8166105877425 | Exploration: 0.65
| Reward: -51710 | Episode: 31 | Qmax: -743.9743666995117 | Exploration: 0.65
| Reward: -53060 | Episode: 32 | Qmax: -754.9011028524064 | Exploration: 0.65
| Reward: -52700 | Episode: 33 | Qmax: -764.7414434791256 | Exploration: 0.65
| Reward: -51440 | Episode: 34 | Qmax: -773.9876152232399 | Exploration: 0.65
| Reward: -53330 | Episode: 35 | Qmax: -783.0092874287748 | Exploration: 0.65
| Reward: -53150 | Episode: 36 | Qmax: -791.4645366939599 | Exploration: 0.65
| Reward: -51260 | Episode: 37 | Qmax: -799.5592433672281 | Exploration: 0.65
| Reward: -54050 | Episode: 38 | Qmax: -807.2354345380795 | Exploration: 0.65
| Reward: -52250 | Episode: 39 | Qmax: -815.2090442014185 | Exploration: 0.65
| Reward: -52250 | Episode: 40 | Qmax: -822.6030069783488 | Exploration: 0.65
| Reward: -50990 | Episode: 41 | Qmax: -829.5268442848726 | Exploration: 0.65
| Reward: -50990 | Episode: 42 | Qmax: -836.5102548952174 | Exploration: 0.65
| Reward: -52610 | Episode: 43 | Qmax: -843.3790950817116 | Exploration: 0.65
| Reward: -50630 | Episode: 44 | Qmax: -849.460648562818 | Exploration: 0.65
| Reward: -51890 | Episode: 45 | Qmax: -855.1155786333048 | Exploration: 0.65
| Reward: -51800 | Episode: 46 | Qmax: -860.9387960111553 | Exploration: 0.65
| Reward: -51350 | Episode: 47 | Qmax: -866.0199348585537 | Exploration: 0.65
| Reward: -50540 | Episode: 48 | Qmax: -870.3313536608689 | Exploration: 0.65
| Reward: -51170 | Episode: 49 | Qmax: -874.9995621316646 | Exploration: 0.65
