| Reward: -32160 | Episode: 0 | Qmax: 17.070708767180843 | Exploration: 0.7
| Reward: -33060 | Episode: 1 | Qmax: 6.291420602798667 | Exploration: 0.7
| Reward: -31530 | Episode: 2 | Qmax: -25.555039626830972 | Exploration: 0.7
| Reward: -32160 | Episode: 3 | Qmax: -58.81801118497731 | Exploration: 0.7
| Reward: -31440 | Episode: 4 | Qmax: -84.002544549355 | Exploration: 0.7
| Reward: -31440 | Episode: 5 | Qmax: -109.69537836617333 | Exploration: 0.7
| Reward: -31530 | Episode: 6 | Qmax: -134.24047292141407 | Exploration: 0.7
| Reward: -30360 | Episode: 7 | Qmax: -159.53843582117705 | Exploration: 0.7
| Reward: -30270 | Episode: 8 | Qmax: -183.95365909832086 | Exploration: 0.7
| Reward: -31080 | Episode: 9 | Qmax: -207.74698006228314 | Exploration: 0.7
| Reward: -30270 | Episode: 10 | Qmax: -230.97356860754527 | Exploration: 0.7
| Reward: -30810 | Episode: 11 | Qmax: -252.85534230913072 | Exploration: 0.7
| Reward: -20450 | Episode: 12 | Qmax: -270.84306830471843 | Exploration: 0.672
| Reward: -30540 | Episode: 13 | Qmax: -288.20625288385514 | Exploration: 0.672
| Reward: -31530 | Episode: 14 | Qmax: -309.01584561390257 | Exploration: 0.672
| Reward: -31440 | Episode: 15 | Qmax: -328.5104212543097 | Exploration: 0.672
| Reward: -30360 | Episode: 16 | Qmax: -347.61537776386075 | Exploration: 0.672
| Reward: -31260 | Episode: 17 | Qmax: -367.5405410812393 | Exploration: 0.672
| Reward: -30270 | Episode: 18 | Qmax: -385.7929529366234 | Exploration: 0.672
| Reward: -31530 | Episode: 19 | Qmax: -402.55963033006446 | Exploration: 0.672
| Reward: -30720 | Episode: 20 | Qmax: -419.26105125048196 | Exploration: 0.672
| Reward: -30630 | Episode: 21 | Qmax: -435.78201595152484 | Exploration: 0.672
| Reward: -30720 | Episode: 22 | Qmax: -452.28841950409253 | Exploration: 0.672
| Reward: -30450 | Episode: 23 | Qmax: -467.6353902940792 | Exploration: 0.672
| Reward: -29220 | Episode: 24 | Qmax: -483.0320806326008 | Exploration: 0.64512
| Reward: -30720 | Episode: 25 | Qmax: -497.0966114579697 | Exploration: 0.64512
| Reward: -31080 | Episode: 26 | Qmax: -510.79014526855633 | Exploration: 0.64512
| Reward: -19400 | Episode: 27 | Qmax: -522.9714653758514 | Exploration: 0.6193152
| Reward: -30990 | Episode: 28 | Qmax: -529.8531981974135 | Exploration: 0.6193152
| Reward: -30990 | Episode: 29 | Qmax: -530.8966466707164 | Exploration: 0.6193152
| Reward: -30900 | Episode: 30 | Qmax: -531.1316049339852 | Exploration: 0.6193152
| Reward: -27140 | Episode: 31 | Qmax: -517.4729519661241 | Exploration: 0.594542592
| Reward: -30090 | Episode: 32 | Qmax: -502.7374538333864 | Exploration: 0.594542592
| Reward: -30990 | Episode: 33 | Qmax: -484.62600313436593 | Exploration: 0.594542592
| Reward: -25440 | Episode: 34 | Qmax: -463.4849833388847 | Exploration: 0.57076088832
| Reward: -30540 | Episode: 35 | Qmax: -446.4612174890923 | Exploration: 0.57076088832
| Reward: -30900 | Episode: 36 | Qmax: -421.690456243784 | Exploration: 0.57076088832
| Reward: -30450 | Episode: 37 | Qmax: -404.0511526473465 | Exploration: 0.57076088832
| Reward: -30180 | Episode: 38 | Qmax: -389.8416666171553 | Exploration: 0.57076088832
| Reward: -30450 | Episode: 39 | Qmax: -371.68769644061183 | Exploration: 0.57076088832
| Reward: -31080 | Episode: 40 | Qmax: -362.0048226831806 | Exploration: 0.57076088832
| Reward: -30360 | Episode: 41 | Qmax: -350.7451610599768 | Exploration: 0.57076088832
| Reward: -13490 | Episode: 42 | Qmax: -352.75746719766545 | Exploration: 0.547930452787
| Reward: -30270 | Episode: 43 | Qmax: -343.90833399377493 | Exploration: 0.547930452787
| Reward: -30900 | Episode: 44 | Qmax: -335.6835450962529 | Exploration: 0.547930452787
| Reward: -14270 | Episode: 45 | Qmax: -329.26378910062044 | Exploration: 0.526013234676
| Reward: -5860 | Episode: 46 | Qmax: -318.65725898092813 | Exploration: 0.504972705289
| Reward: -5310 | Episode: 47 | Qmax: -302.9714560499914 | Exploration: 0.484773797077
| Reward: -30630 | Episode: 48 | Qmax: -318.5584824778073 | Exploration: 0.484773797077
| Reward: -8110 | Episode: 49 | Qmax: -297.93509649272085 | Exploration: 0.465382845194
| Reward: -10550 | Episode: 50 | Qmax: -299.30451521179486 | Exploration: 0.446767531386
| Reward: -24030 | Episode: 51 | Qmax: -289.94102684937775 | Exploration: 0.428896830131
| Reward: -30450 | Episode: 52 | Qmax: -285.16734362863656 | Exploration: 0.428896830131
| Reward: -16010 | Episode: 53 | Qmax: -286.0300606097056 | Exploration: 0.411740956926
| Reward: -15220 | Episode: 54 | Qmax: -292.5048150552068 | Exploration: 0.395271318649
| Reward: -30180 | Episode: 55 | Qmax: -291.41887030827775 | Exploration: 0.395271318649
| Reward: -13370 | Episode: 56 | Qmax: -284.70718369682186 | Exploration: 0.379460465903
| Reward: -30090 | Episode: 57 | Qmax: -280.8655331519573 | Exploration: 0.379460465903
| Reward: -24740 | Episode: 58 | Qmax: -284.567085064957 | Exploration: 0.364282047267
| Reward: -6130 | Episode: 59 | Qmax: -278.116186536717 | Exploration: 0.349710765376
| Reward: -28570 | Episode: 60 | Qmax: -280.89548389252406 | Exploration: 0.335722334761
| Reward: -12970 | Episode: 61 | Qmax: -287.7999177883852 | Exploration: 0.32229344137
| Reward: -5310 | Episode: 62 | Qmax: -271.1279409570747 | Exploration: 0.309401703716
| Reward: -18240 | Episode: 63 | Qmax: -272.813950580885 | Exploration: 0.297025635567
| Reward: -14670 | Episode: 64 | Qmax: -273.2147242875848 | Exploration: 0.285144610144
| Reward: -13380 | Episode: 65 | Qmax: -274.09132816526227 | Exploration: 0.273738825739
| Reward: -13260 | Episode: 66 | Qmax: -273.1847667350116 | Exploration: 0.262789272709
| Reward: -16640 | Episode: 67 | Qmax: -271.1449781335206 | Exploration: 0.252277701801
| Reward: -13880 | Episode: 68 | Qmax: -262.41620518304705 | Exploration: 0.242186593729
| Reward: -4860 | Episode: 69 | Qmax: -267.9761369084158 | Exploration: 0.232499129979
| Reward: -30090 | Episode: 70 | Qmax: -260.9634633538484 | Exploration: 0.232499129979
| Reward: -30000 | Episode: 71 | Qmax: -260.67041080574484 | Exploration: 0.232499129979
| Reward: -30090 | Episode: 72 | Qmax: -265.1665921939854 | Exploration: 0.232499129979
| Reward: -30180 | Episode: 73 | Qmax: -265.96703136026133 | Exploration: 0.232499129979
| Reward: -30180 | Episode: 74 | Qmax: -267.2850907315271 | Exploration: 0.232499129979
| Reward: -16750 | Episode: 75 | Qmax: -259.28770303733273 | Exploration: 0.22319916478
| Reward: -30000 | Episode: 76 | Qmax: -270.30286355523646 | Exploration: 0.22319916478
| Reward: -10060 | Episode: 77 | Qmax: -255.83966178558472 | Exploration: 0.214271198189
| Reward: -3880 | Episode: 78 | Qmax: -259.2083750603786 | Exploration: 0.205700350261
| Reward: -25200 | Episode: 79 | Qmax: -274.23489192454474 | Exploration: 0.197472336251
| Reward: -30000 | Episode: 80 | Qmax: -271.12468652392914 | Exploration: 0.197472336251
| Reward: -11080 | Episode: 81 | Qmax: -273.91283426226204 | Exploration: 0.189573442801
| Reward: -8170 | Episode: 82 | Qmax: -267.4454608951327 | Exploration: 0.181990505089
| Reward: -7840 | Episode: 83 | Qmax: -270.94536012486185 | Exploration: 0.174710884885
| Reward: -6660 | Episode: 84 | Qmax: -270.1536720127925 | Exploration: 0.16772244949
