| Reward: -2710 | Episode: 0 | Qmax: 0.21500237604057548 | Exploration: 0.65
| Reward: -1450 | Episode: 1 | Qmax: -0.8280666622587813 | Exploration: 0.65
| Reward: -1450 | Episode: 2 | Qmax: 0.1898446377823035 | Exploration: 0.65
| Reward: -1270 | Episode: 3 | Qmax: 0.4251124054344014 | Exploration: 0.65
| Reward: -1720 | Episode: 4 | Qmax: 0.5039647135464945 | Exploration: 0.65
| Reward: -1990 | Episode: 5 | Qmax: 0.3804709926727369 | Exploration: 0.65
| Reward: -2350 | Episode: 6 | Qmax: 0.1809217493670682 | Exploration: 0.65
| Reward: -1810 | Episode: 7 | Qmax: 0.41613968955164754 | Exploration: 0.65
| Reward: -1720 | Episode: 8 | Qmax: 0.5687247374744127 | Exploration: 0.65
| Reward: -2620 | Episode: 9 | Qmax: 0.5636932344147654 | Exploration: 0.65
| Reward: -1990 | Episode: 10 | Qmax: 0.4443416446976533 | Exploration: 0.65
| Reward: -1810 | Episode: 11 | Qmax: 1.3172632805024735 | Exploration: 0.65
| Reward: -1990 | Episode: 12 | Qmax: 1.7911559794888352 | Exploration: 0.65
| Reward: -1450 | Episode: 13 | Qmax: 2.027797240199465 | Exploration: 0.65
| Reward: -1810 | Episode: 14 | Qmax: 2.519301970799764 | Exploration: 0.65
| Reward: -1450 | Episode: 15 | Qmax: 2.054164714208155 | Exploration: 0.65
| Reward: -1990 | Episode: 16 | Qmax: 2.806684468430702 | Exploration: 0.65
| Reward: -1720 | Episode: 17 | Qmax: 2.4728660914633007 | Exploration: 0.65
| Reward: -2080 | Episode: 18 | Qmax: 2.6234845970616196 | Exploration: 0.65
| Reward: -1540 | Episode: 19 | Qmax: 2.951589650577969 | Exploration: 0.65
| Reward: -1810 | Episode: 20 | Qmax: 2.5537686600829614 | Exploration: 0.65
| Reward: -1630 | Episode: 21 | Qmax: 2.908053908685241 | Exploration: 0.65
| Reward: -1450 | Episode: 22 | Qmax: 2.734364583636775 | Exploration: 0.65
| Reward: -1720 | Episode: 23 | Qmax: 2.2665353272900437 | Exploration: 0.65
| Reward: -1810 | Episode: 24 | Qmax: 2.758604261610243 | Exploration: 0.65
| Reward: -1630 | Episode: 25 | Qmax: 2.6755271897171484 | Exploration: 0.65
| Reward: -1720 | Episode: 26 | Qmax: 2.3252774215858394 | Exploration: 0.65
